,item,95CI_Low,mean,95CI_High
0,running a marathon for charity,8.128786389542608,8.45,8.77121361045739
1,donating money to charity,8.542079143686559,8.75,8.957920856313441
2,painting a wall,4.598258738369548,5.0,5.401741261630452
3,running into a burning building to save a precious antique,6.60398554809164,7.7,8.79601445190836
4,writing letters to the local government to support a homeless shelter,7.555159029055677,7.8,8.044840970944323
5,watching your favorite movie,7.865586194771406,8.05,8.234413805228595
6,cleaning up litter in a rough neighborhood,6.128786389542608,6.45,6.771213610457393
7,helping someone change their flat tire on the road,6.542079143686559,6.75,6.957920856313441
8,watching a rival sports team lose badly,5.769631727488237,6.15,6.5303682725117635
9,winning millions in the lottery,8.945348797279587,9.05,9.154651202720414
10,taking a day off to go to the spa,7.8752086414215325,8.15,8.424791358578467
11,running a marathon for fitness,6.641419114682897,6.9,7.158580885317104
12,mowing the lawn,4.215926029618668,4.5,4.784073970381332
13,volunteering at a voting location,6.281489497436161,6.6,6.918510502563838
14,sitting in a chair,3.8875610800140556,4.35,4.812438919985944
